,GME,GME,GME,GME,GME,AMC,AMC,AMC,AMC,AMC
,1. open,2. high,3. low,4. close,5. volume,1. open,2. high,3. low,4. close,5. volume
2021-01-01,,,,,,,,,,
2021-01-02,,,,,,,,,,
2021-01-03,,,,,,,,,,
2021-01-04,19.0,19.1,17.15,17.25,10022474.0,2.2,2.2,2.0,2.01,29873796.0
2021-01-05,17.35,18.0765,17.23,17.37,4961457.0,1.99,2.03,1.91,1.98,28148314.0
2021-01-06,17.34,18.98,17.33,18.36,6056248.0,2.03,2.23,1.97,2.01,67363337.0
2021-01-07,18.47,19.45,18.02,18.08,6129276.0,2.08,2.11,2.02,2.05,26150489.0
2021-01-08,18.18,18.3,17.08,17.69,6481960.0,2.09,2.211,2.07,2.14,39553343.0
2021-01-09,,,,,,,,,,
2021-01-10,,,,,,,,,,
2021-01-11,19.41,20.65,19.01,19.94,14927612.0,2.16,2.27,2.15,2.2,41695836.0
2021-01-12,19.96,20.4,19.3168,19.95,6999775.0,2.24,2.39,2.235,2.29,41279713.0
2021-01-13,20.42,38.65,20.03,31.4,143530129.0,2.33,2.38,2.13,2.18,45847659.0
2021-01-14,38.09,43.06,33.05,39.91,93717410.0,2.22,2.32,2.13,2.18,49638794.0
2021-01-15,38.49,40.75,34.01,35.5,46866358.0,2.2,2.55,2.18,2.33,162356375.0
2021-01-16,,,,,,,,,,
2021-01-17,,,,,,,,,,
2021-01-18,,,,,,,,,,
2021-01-19,41.55,45.52,36.64,39.36,74721924.0,2.8,3.2,2.57,3.06,256276010.0
2021-01-20,37.37,41.1899,36.06,39.12,33471789.0,3.29,3.34,2.75,2.97,181862210.0
2021-01-21,39.23,44.75,37.0,43.03,57079754.0,3.0,3.06,2.85,2.98,64823844.0
2021-01-22,42.59,76.7573,42.32,65.01,194084194.0,2.91,3.74,2.81,3.51,268273367.0
2021-01-23,,,,,,,,,,
2021-01-24,,,,,,,,,,
2021-01-25,96.73,159.18,61.13,76.79,177874000.0,4.71,4.88,3.85,4.42,443238115.0
2021-01-26,88.56,150.0,80.2,147.98,161894423.0,5.09,5.19,4.37,4.96,456850232.0
2021-01-27,354.83,380.0,249.0,347.51,90516825.0,20.34,20.36,11.01,19.9,1196005169.0
2021-01-28,265.0,483.0,112.25,193.6,58815805.0,11.98,16.5,6.51,8.63,553511035.0
2021-01-29,379.71,413.98,250.0,325.0,49414294.0,14.31,16.0,11.6,13.26,602193320.0
2021-01-30,,,,,,,,,,
2021-01-31,,,,,,,,,,
2021-02-01,316.56,322.0,212.0,225.0,37382152.0,17.0,17.25,12.91,13.3,434607989.0
2021-02-02,140.76,158.0,74.2201,90.0,76663691.0,9.48,10.1,6.0,7.82,455959866.0
2021-02-03,112.01,113.3999,85.25,92.41,42698511.0,8.85,9.77,7.89,8.97,221405052.0
2021-02-04,91.19,91.5,53.33,53.5,62427275.0,8.7,8.74,7.0,7.09,162985781.0
2021-02-05,54.04,95.0,51.09,63.77,81345013.0,7.17,8.27,6.52,6.83,197097568.0
2021-02-06,,,,,,,,,,
2021-02-07,,,,,,,,,,
2021-02-08,72.41,72.66,58.02,60.0,25687282.0,6.88,6.89,5.75,6.18,128755955.0
2021-02-09,56.61,57.0,46.52,50.31,25598598.0,5.81,5.81,5.26,5.5,97487848.0
2021-02-10,50.77,62.83,46.55,51.2,35943280.0,5.71,6.59,5.45,5.8,149869768.0
2021-02-11,50.01,55.32,48.2201,51.1,13056725.0,5.62,5.85,5.47,5.61,55920386.0
2021-02-12,50.75,55.24,48.05,52.4,14573264.0,5.72,5.97,5.52,5.59,46773031.0
2021-02-13,,,,,,,,,,
2021-02-14,,,,,,,,,,
2021-02-15,,,,,,,,,,
2021-02-16,52.66,53.5,49.04,49.51,8175030.0,6.03,6.05,5.49,5.65,61165710.0
2021-02-17,49.77,51.19,44.56,45.94,9147635.0,5.58,5.62,5.32,5.55,38185271.0
2021-02-18,48.49,48.87,40.65,40.69,23990555.0,5.84,6.25,5.46,5.51,130540827.0
2021-02-19,41.28,43.89,38.5,40.59,14828238.0,5.54,5.77,5.51,5.7,40249109.0
2021-02-20,,,,,,,,,,
2021-02-21,,,,,,,,,,
2021-02-22,46.69,48.51,42.4,46.0,18864590.0,5.93,6.68,5.75,6.55,150537943.0
2021-02-23,44.97,46.23,40.0,44.97,7565215.0,6.97,7.86,6.01,7.7,264876391.0
2021-02-24,44.7,91.71,44.7,91.71,48556520.0,7.23,9.83,6.99,9.09,376881755.0
2021-02-25,169.56,184.68,101.0,108.73,145443658.0,10.89,11.0,7.85,8.29,435842322.0
2021-02-26,117.46,142.9,86.0,101.74,90842694.0,8.19,9.01,7.6301,8.01,133508134.0
2021-02-27,,,,,,,,,,
2021-02-28,,,,,,,,,,
